#Pagan Religion;;;;;;;;;;;;;;x
pagan_phoenician;Phoenician Pantheon;;;;;;;;;;;;;x
pagan_phoenician_DESC;The Phoenician religion was inspired by the powers and processes of nature. Many of the gods they worshipped, however, were localized and are now known only under their local names. A pantheon was presided over by the father of the gods, but a goddess was the principal figure in the Phoenician pantheon.;;;;;;;;;;;;;x
pagan_persian;Mithraism;;;;;;;;;;;;;x
pagan_persian_DESC;The Mithraic Mysteries were a mystery religion practiced in the Roman Empire from about the 1st to 4th centuries AD. The name of the Persian god Mithra (proto-Indo-Iranian Mitra), adapted into Greek as Mithras, was linked to a new and distinctive imagery. Writers of the Roman Empire period referred to this mystery religion by phrases which can be anglicized as Mysteries of Mithras or Mysteries of the Persians modern historians refer to it as Mithraism, or sometimes Roman Mithraism. The mysteries were popular in the Roman military. Worshippers of Mithras had a complex system of seven grades of initiation, with ritual meals. Initiates called themselves syndexioi, those "united by the handshake". They met in underground temples (called mithraea), which survive in large numbers. The cult appears to have had its centre in Rome.;;;;;;;;;;;;;x
pagan_greek;Greek Olympian;;;;;;;;;;;;;x
pagan_greek_DESC;Ancient Greek religion encompasses the collection of beliefs, rituals, and mythology originating in ancient Greece in the form of both popular public religion and cult practices. These different groups varied enough for it to be possible to speak of Greek religions or "cults" in the plural, though most of them shared similarities. Many of the ancient Greek people recognized the major (Olympian) gods and goddesses (Zeus, Poseidon, Hades, Apollo, Artemis, Aphrodite, Ares, Dionysus, Hephaestus, Athena, Hermes, Demeter, Hestia, and Hera), although philosophies such as Stoicism and some forms of Platonism used language that seems to posit a transcendent single deity. Different cities often worshiped the same deities, sometimes with epithets that distinguished them and specified their local nature. The religious practices of the Greeks extended beyond mainland Greece, to the islands and coasts of Ionia in Asia Minor, to Magna Graecia (Sicily and southern Italy), and to scattered Greek colonies in the Western Mediterranean, such as Massalia (Marseille). Greek religion was tempered by Etruscan cult and belief to form much of the later Ancient Roman religion.;;;;;;;;;;;;;x
pagan_roman;Roman Olympian;;;;;;;;;;;;;x
pagan_roman_DESC;Early forms of the Roman religion were animistic in nature, believing that spirits inhabited everything around them, people included. The first citizens of Rome also believed they were watched over by the spirits of their ancestors. Initially, a Capitoline Triad (possibly derived from a Sabine influence) were added to these “spirits" - the new gods included Mars, the god of war and supposed father of Romulus and Remus (founders of Rome); Quirinus, the deified Romulus who watched over the people of Rome; and lastly, Jupiter, the supreme god. They, along with the spirits, were worshipped at a temple on Capitoline Hill. Later, due to the Etruscans, the triad would change to include Jupiter who remained the supreme god; Juno, his wife and sister; and Minerva, Jupiter’s daughter. Due to the presence of Greek colonies on the Lower Peninsula, the Romans adopted many of the Greek gods as their own. Religion and myth became one. Under this Greek influence, the Roman gods became more anthropomorphic – with the human characteristics of jealousy, love, hate, etc. However, this transformation was not to the degree that existed in Greek mythology. In Rome individual expression of belief was unimportant, strict adherence to a rigid set of rituals was far more significant, thereby avoiding the hazards of religious zeal. Cities adopted their own patron deities and performed their own rituals. Temples honoring the gods would be built throughout the empire; however, these temples were considered the “home” of the god; worship occurred outside the temple. While this fusion of Roman and Greek deities influenced Rome in many ways, their religion remained practical.;;;;;;;;;;;;;x
pagan_arab;Arabian Pagan;;;;;;;;;;;;;x
pagan_arab_DESC;In pre-Islamic Arabia, Allah was used by polythiestic Arabs including the Meccans as a reference to a creator god, possibly a supreme deity of their pantheon. Prior to Islam, the Kaaba of Mecca was covered in symbols representing the myriad demons, djinn, demigods, or simply tribal gods and other assorted deities which represented the polytheistic culture of pre-Islamic Arabia. Among those deities were: Allah which, for the Meccans, was a reference to a creator god who had the three goddesses Al-lāt, Al-‘Uzzá, and Manāt as daughters; and Hubal. It has been inferred from this plurality that this mythology flourished in an exceptionally broad context. Many of the physical descriptions of the pre-Islamic gods are traced to idols, especially near the Kaaba, which is believed to have contained up to 360 of them.;;;;;;;;;;;;;x
pagan_meso;Mesopotamian Pantheon;;;;;;;;;;;;;x
pagan_meso_DESC;Mesopotamian religion refers to the religious beliefs and practices followed by the Sumerian and East Semitic Akkadian, Assyrian, Babylonian and later migrant Arameans and Chaldeans, living in Mesopotamia (a region encompassing modern Iraq, Kuwait, south east Turkey and north east Syria) that dominated the region for a period of 4,200 years from the fourth millennium BCE throughout Mesopotamia, to approximately the 10th century CE in Assyria. Mesopotamian polytheism was the only religion in ancient Mesopotamia for thousands of years before entering a period of gradual decline beginning between the 1st and 3rd centuries CE. This decline happened in the face of the introduction of a distinctive native Eastern Rite (Syriac Christianity such as the Assyrian Church of the East and Syriac Orthodox Church), as well as Judaism, Manicheanism and Gnosticism, and continued for approximately three to four centuries, until most of the original religious traditions of the area died out, with the final traces existing among some remote Assyrian communities until the 10th century CE.;;;;;;;;;;;;;x
celtic_pagan;Celtic Pantheon;;;;;;;;;;;;;x
celtic_pagan_DESC;Celtic Pantheon;;;;;;;;;;;;;x
pagan_egypt;Kemetic Pantheon;;;;;;;;;;;;;x
pagan_egypt_DESC;Kemetic Pantheon;;;;;;;;;;;;;x
aten_pagan;Aten Pantheon;;;;;;;;;;;;;x
aten_pagan_DESC;Kemetic Pantheon Heresy, Believes in Aten the Pharaoh God.;;;;;;;;;;;;;x
titan_pagan;Titan Pantheon;;;;;;;;;;;;;x
titan_pagan_DESC;Greek Olympian Pantheon Heresy, Believes that Kronos is the true ruler.;;;;;;;;;;;;;x
promethean_pagan;Promethean Pantheon;;;;;;;;;;;;;x
promethean_pagan_DESC;Roman Olympian Pantheon Heresy, Believes that Man should be free to do what ever they wish.;;;;;;;;;;;;;x
#Christian Religion;;;;;;;;;;;;;;x
