e_carthage;Carthage;;;;;;;;;;;;;x
e_carthage_adj;Carthaginian;;;;;;;;;;;;;x
e_assyria;Assyria;;;;;;;;;;;;;x
e_assyria_adj;Assyrian;;;;;;;;;;;;;x
e_indo_aryan;Indo Aryan Civilization;;;;;;;;;;;;;x
e_indo_aryan_adj;Indo Aryan;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
e__adj;;;;;;;;;;;;;;x
e_;;;;;;;;;;;;;;x
