b_sigtuna;Sigtuna;Sigtuna;Sigtuna;;Sigtuna;;;;;;;;;x
b_uppsala;Uppsala;Uppsala;Uppsala;;Uppsala;;;;;;;;;x
b_osteras;Österås;Österås;Österås;;Österås;;;;;;;;;x
b_hatuna;Håtuna;Håtuna;Håtuna;;Håtuna;;;;;;;;;x
b_stockholm;Stockholm;Stockholm;Stockholm;;Estocolmo;;;;;;;;;x
b_enkoping;Enköping;Enköping;Enköping;;Enköping;;;;;;;;;x
b_alsno;Alsnö;Alsnö;Alsnö;;Alsnö;;;;;;;;;x
b_vaksala;Vaksala;Vaksala;Vaksala;;Vaksala;;;;;;;;;x
b_galakvist;Gälakvist;Gälakvist;Gälakvist;;Gälakvist;;;;;;;;;x
b_lodose;Lödöse;Lödöse;Lödöse;;Lödöse;;;;;;;;;x
b_skara;Skara;Skara;Skara;;Skara;;;;;;;;;x
b_falkoping;Falköping;Falköping;Falköping;;Falkoping;;;;;;;;;x
b_ymseborg;Ymseborg;Ymseborg;Ymseborg;;Ymseborg;;;;;;;;;x
b_husaby;Husaby;Husaby;Husaby;;Husaby;;;;;;;;;x
b_varnhem;Varnhem;Varnhem;Varnhem;;Varnhem;;;;;;;;;x
b_lacko;Läckö;Läckö;Läckö;;Läckö;;;;;;;;;x
b_lena;Lena;Lena;Lena;;Lena;;;;;;;;;x
b_skalunda;Skalunda;Skalunda;Skalunda;;Skalunda;;;;;;;;;x
b_lindholmen;Lindholmen;Lindholmen;Lindholmen;;Lindholmen;;;;;;;;;x
b_alvsborg;Älvsborg;Älvsborg;Älvsborg;;Älvsborg;;;;;;;;;x
b_stegeborg;Stegeborg;Stegeborg;Stegeborg;;Stegeborg;;;;;;;;;x
b_skanninge;Skänninge;Skänninge;Skänninge;;Skanninge;;;;;;;;;x
b_vadstena;Vadstena;Vadstena;Vadstena;;Vadstena;;;;;;;;;x
b_linkoping;Linköping;Linköping;Linköping;;Linkoping;;;;;;;;;x
b_norrkoping;Norrköping;Norrköping;Norrköping;;Norrköping;;;;;;;;;x
b_soderkoping;Söderköping;Söderköping;Söderköping;;Soderkoping;;;;;;;;;x
b_alvastra;Alvastra;Alvastra;Alvastra;;Alvastra;;;;;;;;;x
b_vreta;Vreta;Vreta;Vreta;;Vreta;;;;;;;;;x
b_nykoping;Nyköping;Nyköping;Nyköping;;Nyköping;;;;;;;;;x
b_telge;Telge;Telge;Telge;;Telge;;;;;;;;;x
b_gripsholm;Gripsholm;Gripsholm;Gripsholm;;Gripsholm;;;;;;;;;x
b_strangnas;Strängnäs;Strängnäs;Strängnäs;;Strängnäs;;;;;;;;;x
b_torshalla;Torshälla;Torshälla;Torshälla;;Torshälla;;;;;;;;;x
b_eskilstuna;Eskilstuna;Eskilstuna;Eskilstuna;;Eskilstuna;;;;;;;;;x
b_vaderbrunn;Väderbrunn;Väderbrunn;Väderbrunn;;Vaderbrunn;;;;;;;;;x
b_hundhamra;Hundhamra;Hundhamra;Hundhamra;;Hundhamra;;;;;;;;;x
b_visby;Visby;Visby;Visby;;Visby;;;;;;;;;x
b_visborg;Visborg;Visborg;Visborg;;Visborg;;;;;;;;;x
b_geatish_roma;Roma;Rome;Roma;;Roma;;;;;;;;;x
b_slite;Slite;Slite;Slite;;Slite;;;;;;;;;x
b_hejde;Hejde;Hejde;Hejde;;Hejde;;;;;;;;;x
b_othem;Othem;Othem;Othem;;Othem;;;;;;;;;x
b_alva;Alva;Alva;Alva;;Alva;;;;;;;;;x
b_hemse;Hemse;Hemse;Hemse;;Hemse;;;;;;;;;x
b_piksborg;Piksborg;Piksborg;Piksborg;;Piksborg;;;;;;;;;x
b_aringsas;Aringsås;Aringsås;Aringsås;;Aringsas;;;;;;;;;x
b_nasborg;Näsborg;Näsborg;Näsborg;;Nasborg;;;;;;;;;x
b_kronoberg;Kronoberg;Kronoberg;Kronoberg;;Kronoberg;;;;;;;;;x
b_jonkoping;Jönköping;Jönköping;Jönköping;;Jönköping;;;;;;;;;x
b_vaxjo;Växjö;Växjö;Växjö;;Växjö;;;;;;;;;x
b_vimmerby;Vimmerby;Vimmerby;Vimmerby;;Vimmerby;;;;;;;;;x
b_eksjo;Eksjö;Eksjö;Eksjö;;Eksjö;;;;;;;;;x
b_hagelsrum;Hagelsrum;Hagelsrum;Hagelsrum;;Hagelsrum;;;;;;;;;x
b_vetlanda;Vetlanda;Vetlanda;Vetlanda;;Vetlanda;;;;;;;;;x
b_kaisereia;Kaisereia;Césarée;Kaisereia;;Cesáreo;;;;;;;;;x
